,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,genres,label,label_encode
2068,Johann Sebastian Bach,"Goldberg Variations, BWV 988: Var. 21, Canone alla settima",2EKuqL7qTGua0rEtfygMG9,0,0.00013713727540589407,0.00013518965446298746,7,0.0,0,0.00013525109506673665,0.00013961799752719586,0.00013938701781385305,0.0001354973194411601,0.00013681390380721413,0.0004833204305755663,audio_features,spotify:track:2EKuqL7qTGua0rEtfygMG9,https://api.spotify.com/v1/tracks/2EKuqL7qTGua0rEtfygMG9,https://api.spotify.com/v1/audio-analysis/2EKuqL7qTGua0rEtfygMG9,1.0,4,Classical,Fear,3
2069,Lil Baby,Hats Off (feat. Travis Scott),4lUmnwRybYH7mMzf16xB0y,77,2.2386392814722277e-05,2.259615599570354e-05,9,0.0,1,2.138030644668253e-05,2.0607290279733072e-05,2.0071228817225406e-05,2.061505928643608e-05,2.0801515447308313e-05,0.000540583024408817,audio_features,spotify:track:4lUmnwRybYH7mMzf16xB0y,https://api.spotify.com/v1/tracks/4lUmnwRybYH7mMzf16xB0y,https://api.spotify.com/v1/audio-analysis/4lUmnwRybYH7mMzf16xB0y,1.0000000000000002,4,Hip hop,Anger,0
2070,Johnny Mathis,What Child Is This? (with Percy Faith & His Orchestra),5pHVGMJY8zuukdIAPpT1vj,58,4.927634234790092e-05,4.9849960644512624e-05,5,0.0,0,4.8485086521104186e-05,5.227096727874143e-05,4.8340112932198764e-05,4.870567649840413e-05,4.931008460064278e-05,0.0004014020563988173,audio_features,spotify:track:5pHVGMJY8zuukdIAPpT1vj,https://api.spotify.com/v1/tracks/5pHVGMJY8zuukdIAPpT1vj,https://api.spotify.com/v1/audio-analysis/5pHVGMJY8zuukdIAPpT1vj,0.9999999999999999,3,Jazz,Sad,2
2071,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",3zHq9ouUJQFQRf3cm1rRLu,80,2.735401254972635e-05,2.8716169515144107e-05,8,0.0,1,2.6508208108408813e-05,2.729461617042034e-05,2.631655579118143e-05,2.6811525618731487e-05,2.7405489411791556e-05,0.0007781044481845507,audio_features,spotify:track:3zHq9ouUJQFQRf3cm1rRLu,https://api.spotify.com/v1/tracks/3zHq9ouUJQFQRf3cm1rRLu,https://api.spotify.com/v1/audio-analysis/3zHq9ouUJQFQRf3cm1rRLu,1.0,4,Dance,Anger,0
2072,John Coltrane Quartet,Say It (Over And Over Again),016HKF7A4O7tatoJ9BgZM1,56,5.284150278358613e-05,5.141947801549318e-05,3,0.0,1,5.1092881118205895e-05,5.469716697271843e-05,5.2235970258711384e-05,5.1896090712491364e-05,5.173591759300837e-05,0.0003091849072010467,audio_features,spotify:track:016HKF7A4O7tatoJ9BgZM1,https://api.spotify.com/v1/tracks/016HKF7A4O7tatoJ9BgZM1,https://api.spotify.com/v1/audio-analysis/016HKF7A4O7tatoJ9BgZM1,1.0,4,Jazz,Fear,3
2073,Little Big Town,Live Forever,4Uiz6feKg4CdNtnPmd6OHF,37,4.7085068355036055e-05,4.666376036975487e-05,5,0.0,1,4.511350302391466e-05,4.7459564341952666e-05,4.500195619539166e-05,4.57938374001465e-05,4.668326536907344e-05,0.0006299334579926447,audio_features,spotify:track:4Uiz6feKg4CdNtnPmd6OHF,https://api.spotify.com/v1/tracks/4Uiz6feKg4CdNtnPmd6OHF,https://api.spotify.com/v1/audio-analysis/4Uiz6feKg4CdNtnPmd6OHF,1.0000000000000002,3,Country Music,Sad,2
2074,Bryson Tiller,be mine this christmas,2TYcxKCale4adLTwDRKkmV,67,3.69256515448399e-05,3.696005585214908e-05,6,0.0,0,3.625722500283295e-05,3.492037191881904e-05,3.3893157600587774e-05,3.5480670637854283e-05,3.746629065969846e-05,0.0004570022437899438,audio_features,spotify:track:2TYcxKCale4adLTwDRKkmV,https://api.spotify.com/v1/tracks/2TYcxKCale4adLTwDRKkmV,https://api.spotify.com/v1/audio-analysis/2TYcxKCale4adLTwDRKkmV,0.9999999999999999,4,K-pop,Happy,1
2075,Country Joe & The Fish,Flying High,5v0ibjQegpYdMUGL95dI1a,44,9.978543925802512e-05,9.869858720909536e-05,7,0.0,1,9.640005039018734e-05,9.878553537300974e-05,9.611498462421091e-05,0.00010013944249681938,0.0001011020828830143,0.0008841199835971047,audio_features,spotify:track:5v0ibjQegpYdMUGL95dI1a,https://api.spotify.com/v1/tracks/5v0ibjQegpYdMUGL95dI1a,https://api.spotify.com/v1/audio-analysis/5v0ibjQegpYdMUGL95dI1a,1.0,4,Country Music,Love,4
2076,Yes,Roundabout - 2008 Remaster,7lPjS6Yd4lRk4BsboDsm1H,52,1.4016405136251969e-05,1.4857544493156472e-05,4,0.0,0,1.3381674400339011e-05,1.3446601055768275e-05,1.3248138682157627e-05,1.3367720014694511e-05,1.397764295390614e-05,0.0002707480293582676,audio_features,spotify:track:7lPjS6Yd4lRk4BsboDsm1H,https://api.spotify.com/v1/tracks/7lPjS6Yd4lRk4BsboDsm1H,https://api.spotify.com/v1/audio-analysis/7lPjS6Yd4lRk4BsboDsm1H,1.0,4,Jazz,Anger,0
2077,KAI,Amnesia,11dQTEghmS3uFipXhk1Tbl,61,3.0018189200661614e-05,3.08006406041419e-05,2,0.0,1,2.7334939780583854e-05,2.879980058667088e-05,2.7106352191995685e-05,2.8140305832308922e-05,2.9090425393677844e-05,0.0008204953085052187,audio_features,spotify:track:11dQTEghmS3uFipXhk1Tbl,https://api.spotify.com/v1/tracks/11dQTEghmS3uFipXhk1Tbl,https://api.spotify.com/v1/audio-analysis/11dQTEghmS3uFipXhk1Tbl,0.9999999999999999,4,K-pop,Anger,0
