,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,genres,label,label_encode
8396,Sam Smith,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,79,4.825841919251948e-05,4.6966304988309785e-05,8,0.0,1,4.430957786436008e-05,4.655703804579992e-05,4.3926047790463365e-05,4.522399714733925e-05,4.59548309732497e-05,0.0006461214154815,audio_features,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,https://api.spotify.com/v1/tracks/6Qs4SXO9dwPj5GKvVOv8Ki,https://api.spotify.com/v1/audio-analysis/6Qs4SXO9dwPj5GKvVOv8Ki,1.0,4,Dance,Sad,2
8397,Garrett Hedlund,Timing Is Everything,5aCyr0HOfRgP5javZTyz66,49,6.683592216167803e-05,6.423826650781971e-05,0,0.0,1,6.388133299598316e-05,6.819822653653983e-05,6.370606780183015e-05,6.42675633760963e-05,6.450193832230909e-05,0.0007197947566877,audio_features,spotify:track:5aCyr0HOfRgP5javZTyz66,https://api.spotify.com/v1/tracks/5aCyr0HOfRgP5javZTyz66,https://api.spotify.com/v1/audio-analysis/5aCyr0HOfRgP5javZTyz66,1.0,4,Country Music,Sad,2
8398,Canned Heat,Boogie Music,2QdQX7WhlxOTGXKHIOkSfp,24,8.157232877737366e-05,8.121210040788326e-05,9,0.0,1,7.860958898768796e-05,8.184388554822028e-05,7.854918146111187e-05,7.876808947026373e-05,8.289131880720007e-05,0.0005536100421826,audio_features,spotify:track:2QdQX7WhlxOTGXKHIOkSfp,https://api.spotify.com/v1/tracks/2QdQX7WhlxOTGXKHIOkSfp,https://api.spotify.com/v1/audio-analysis/2QdQX7WhlxOTGXKHIOkSfp,1.0,4,Country Music,Sad,2
8399,Stray Kids,Any,5NbmRFtL4YLYv045u4bSNS,62,2.360131565037472e-05,2.353628196496537e-05,3,0.0,0,1.8778181054288622e-05,1.85872185053139e-05,1.8404532970845817e-05,1.903713336528221e-05,2.088172516962012e-05,0.0006690606433381,audio_features,spotify:track:5NbmRFtL4YLYv045u4bSNS,https://api.spotify.com/v1/tracks/5NbmRFtL4YLYv045u4bSNS,https://api.spotify.com/v1/audio-analysis/5NbmRFtL4YLYv045u4bSNS,1.0,4,K-pop,Anger,0
8400,Bad Company,"Gone, Gone, Gone - Live At Red Rocks",6Fyek2VVWXXLQCPd6N3xMH,17,2.379057785018145e-05,2.5480999611731022e-05,9,0.0,1,2.222372921957378e-05,2.2024802146766695e-05,2.2023237131565336e-05,2.559100536627872e-05,2.313054332289528e-05,0.0004754815397399,audio_features,spotify:track:6Fyek2VVWXXLQCPd6N3xMH,https://api.spotify.com/v1/tracks/6Fyek2VVWXXLQCPd6N3xMH,https://api.spotify.com/v1/audio-analysis/6Fyek2VVWXXLQCPd6N3xMH,1.0,4,Soft Rock,Love,4
8401,Muse,Supermassive Black Hole,3lPr8ghNDBLc2uZovNyLs9,78,2.068783137098701e-05,2.1878734974368055e-05,7,0.0,1,1.7750112245018182e-05,1.7775060028013913e-05,1.7567805143994674e-05,1.7956284489397984e-05,2.1224444061838548e-05,0.000582398933342,audio_features,spotify:track:3lPr8ghNDBLc2uZovNyLs9,https://api.spotify.com/v1/tracks/3lPr8ghNDBLc2uZovNyLs9,https://api.spotify.com/v1/audio-analysis/3lPr8ghNDBLc2uZovNyLs9,1.0,4,Rock,Happy,1
8402,Drake,Papi’s Home,6jy9yJfgCsMHdu2Oz4BGKX,78,3.839238853934691e-05,3.861631614820866e-05,2,0.0,1,3.622029073338795e-05,3.509505449885766e-05,3.446805719404476e-05,3.8381192158903824e-05,3.775979304431247e-05,0.0008192055678793,audio_features,spotify:track:6jy9yJfgCsMHdu2Oz4BGKX,https://api.spotify.com/v1/tracks/6jy9yJfgCsMHdu2Oz4BGKX,https://api.spotify.com/v1/audio-analysis/6jy9yJfgCsMHdu2Oz4BGKX,1.0,4,Pop,Love,4
8403,Payung Teduh,Akad,3AAAGS7iM1ekDywqdYMJG2,66,3.1066033975756775e-05,3.18635916775272e-05,9,0.0,1,2.9420974424872045e-05,3.0345909060566e-05,2.9273852130370703e-05,2.955609463745354e-05,3.211911987324005e-05,0.0003835052337323,audio_features,spotify:track:3AAAGS7iM1ekDywqdYMJG2,https://api.spotify.com/v1/tracks/3AAAGS7iM1ekDywqdYMJG2,https://api.spotify.com/v1/audio-analysis/3AAAGS7iM1ekDywqdYMJG2,1.0000000000000002,4,Pop Indonesia,Happy,1
8404,James Taylor,Fire and Rain - 2019 Remaster,1oht5GevPN9t1T3kG1m1GO,72,8.785529763982611e-05,8.625435705678623e-05,5,0.0,1,8.511700172233213e-05,8.868523309545107e-05,8.498195305351742e-05,8.538169711320897e-05,8.658338472262571e-05,0.0004594797690538,audio_features,spotify:track:1oht5GevPN9t1T3kG1m1GO,https://api.spotify.com/v1/tracks/1oht5GevPN9t1T3kG1m1GO,https://api.spotify.com/v1/audio-analysis/1oht5GevPN9t1T3kG1m1GO,1.0,4,Rock,Sad,2
8405,Brenda Lee,Jingle Bell Rock,0MKnGJzNdEqOscI6xu9R3m,60,7.900339084826779e-05,7.676085268090177e-05,5,0.0,1,7.403447922400132e-05,7.890355182026862e-05,7.37349621400038e-05,7.507894905537727e-05,8.007858038056656e-05,0.0010178512105263,audio_features,spotify:track:0MKnGJzNdEqOscI6xu9R3m,https://api.spotify.com/v1/tracks/0MKnGJzNdEqOscI6xu9R3m,https://api.spotify.com/v1/audio-analysis/0MKnGJzNdEqOscI6xu9R3m,1.0,4,Jazz,Sad,2
8406,Oscar Peterson,White Christmas,2dvU6xGERLJVghYFioPgmf,58,8.640952241692147e-05,8.50700761098627e-05,8,0.0,1,8.479326006755161e-05,8.877426101092781e-05,8.812191932982261e-05,8.512200594105595e-05,8.549109399747072e-05,0.0004227002424698,audio_features,spotify:track:2dvU6xGERLJVghYFioPgmf,https://api.spotify.com/v1/tracks/2dvU6xGERLJVghYFioPgmf,https://api.spotify.com/v1/audio-analysis/2dvU6xGERLJVghYFioPgmf,1.0,4,Jazz,Fear,3
8407,Daryl Hall & John Oates,Jingle Bell Rock - Daryl's Version,4DKrbgRx4FQBxn3PqTwAeE,27,5.1091801241452766e-05,5.16768218663549e-05,2,0.0,1,4.5599920125184014e-05,5.037677603323905e-05,4.537159957574304e-05,4.6631018976574016e-05,5.174182415801069e-05,0.0010921685044006,audio_features,spotify:track:4DKrbgRx4FQBxn3PqTwAeE,https://api.spotify.com/v1/tracks/4DKrbgRx4FQBxn3PqTwAeE,https://api.spotify.com/v1/audio-analysis/4DKrbgRx4FQBxn3PqTwAeE,1.0000000000000002,4,Soft Rock,Sad,2
